Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals),Age (Intervals)
1,1,1/22/2012,255,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,28,Car,0-359,January,20 - 29
2,1,1/23/2012,800,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc,800-1159,January,10 - 19
1,1,1/23/2012,1345,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,73,Car,1200-1559,January,70 - 79
1,1,1/24/2012,117,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,19,Car,0-359,January,10 - 19
1,1,1/24/2012,930,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Motorcycle over 50cc and up to 125cc,800-1159,January,10 - 19
2,1,1/24/2012,740,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Pedal cycle,400-759,January,20 - 29
2,1,1/24/2012,2115,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,49,Car,2000-2359,January,40 - 49
2,2,1/25/2012,818,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Motorcycle over 500cc,800-1159,January,40 - 49
2,2,1/25/2012,818,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car,800-1159,January,40 - 49
3,2,1/25/2012,853,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,800-1159,January,30 - 39
3,2,1/25/2012,853,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car,800-1159,January,30 - 39
1,1,1/25/2012,1645,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car,1600-1959,January,10 - 19
2,1,1/25/2012,1720,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Pedal cycle,1600-1959,January,30 - 39
2,1,1/25/2012,1915,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,59,Car,1600-1959,January,50 - 59
1,1,1/25/2012,1410,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,58,Car,1200-1559,January,50 - 59
2,1,1/26/2012,645,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Car,400-759,January,10 - 19
2,1,1/26/2012,955,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,800-1159,January,30 - 39
2,1,1/26/2012,1440,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,39,Bus or coach (17 or more passenger seats),1200-1559,January,30 - 39
2,2,1/26/2012,1615,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,1600-1959,January,30 - 39
2,2,1/26/2012,1615,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,1600-1959,January,20 - 29
1,1,1/26/2012,1755,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,39,Taxi/Private hire car,1600-1959,January,30 - 39
2,1,1/26/2012,1726,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Pedal cycle,1600-1959,January,40 - 49
2,1,1/26/2012,1805,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,48,Car,1600-1959,January,40 - 49
1,1,1/26/2012,815,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,12,Car,800-1159,January,10 - 19
2,1,1/27/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,800-1159,January,10 - 19
3,2,1/27/2012,828,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,800-1159,January,30 - 39
2,3,1/1/2012,1110,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,26,Car,800-1159,January,20 - 29
2,3,1/1/2012,1110,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Fatal,Male,68,Car,800-1159,January,60 - 69
2,3,1/1/2012,1110,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Fatal,Female,66,Car,800-1159,January,60 - 69
1,1,1/1/2012,200,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,19,Taxi/Private hire car,0-359,January,10 - 19
2,1,1/1/2012,1750,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,61,Car,1600-1959,January,60 - 69
2,2,1/1/2012,1535,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car,1200-1559,January,40 - 49
2,2,1/1/2012,1535,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car,1200-1559,January,30 - 39
2,3,1/1/2012,1405,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,23,Car,1200-1559,January,20 - 29
2,3,1/1/2012,1405,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,29,Car,1200-1559,January,20 - 29
2,3,1/1/2012,1405,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Female,30,Car,1200-1559,January,30 - 39
2,2,1/1/2012,1630,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Car,1600-1959,January,40 - 49
2,2,1/1/2012,1630,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car,1600-1959,January,20 - 29
2,1,1/3/2012,742,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,24,Pedal cycle,400-759,January,20 - 29
1,1,1/3/2012,2100,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,28,Car,2000-2359,January,20 - 29
2,2,1/3/2012,1314,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,62,Car,1200-1559,January,60 - 69
2,2,1/3/2012,1314,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,60,Car,1200-1559,January,60 - 69
1,1,1/3/2012,1210,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,27,Car,1200-1559,January,20 - 29
2,3,1/3/2012,2025,Wet / Damp,Darkness: no street lighting,Raining with high winds,Driver,Slight,Male,31,Car,2000-2359,January,30 - 39
2,3,1/3/2012,2025,Wet / Damp,Darkness: no street lighting,Raining with high winds,Driver,Slight,Male,39,Car,2000-2359,January,30 - 39
2,3,1/3/2012,2025,Wet / Damp,Darkness: no street lighting,Raining with high winds,Passenger,Slight,Male,37,Car,2000-2359,January,30 - 39
2,2,1/4/2012,1015,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,88,Car,800-1159,January,80- 89
2,2,1/4/2012,1015,Wet / Damp,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,85,Car,800-1159,January,80- 89
1,1,1/4/2012,1645,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car,1600-1959,January,10 - 19
1,2,1/4/2012,2130,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Car,2000-2359,January,20 - 29
1,2,1/4/2012,2130,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,25,Car,2000-2359,January,20 - 29
2,2,1/4/2012,1705,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,46,Car,1600-1959,January,40 - 49
2,2,1/4/2012,1705,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Female,20,Car,1600-1959,January,20 - 29
2,1,1/5/2012,1600,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,53,Car,1600-1959,January,50 - 59
2,1,1/5/2012,730,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,30,Pedal cycle,400-759,January,30 - 39
2,1,1/5/2012,1050,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,31,Car,800-1159,January,30 - 39
2,1,1/5/2012,550,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,55,Motorcycle over 500cc,400-759,January,50 - 59
2,1,1/5/2012,1628,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Pedal cycle,1600-1959,January,20 - 29
1,1,1/5/2012,1710,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,64,Pedal cycle,1600-1959,January,60 - 69
1,1,1/6/2012,930,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car,800-1159,January,30 - 39
1,1,1/6/2012,1328,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Car,1200-1559,January,50 - 59
3,2,1/6/2012,1644,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,83,Car,1600-1959,January,80- 89
3,2,1/6/2012,1644,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,37,Car,1600-1959,January,30 - 39
1,1,1/7/2012,1030,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,84,Bus or coach (17 or more passenger seats),800-1159,January,80- 89
1,1,1/7/2012,1155,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,71,Car,800-1159,January,70 - 79
1,1,1/7/2012,1610,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,24,Car,1600-1959,January,20 - 29
2,1,1/9/2012,805,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle,800-1159,January,50 - 59
2,1,1/9/2012,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,64,Car,1200-1559,January,60 - 69
2,2,1/9/2012,1740,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,39,Car,1600-1959,January,30 - 39
2,2,1/9/2012,1740,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Car,1600-1959,January,20 - 29
2,2,1/9/2012,5,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,79,Car,0-359,January,70 - 79
2,2,1/9/2012,5,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,32,Car,0-359,January,30 - 39
1,1,1/10/2012,750,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car,400-759,January,10 - 19
3,2,1/10/2012,1610,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car,1600-1959,January,30 - 39
3,2,1/10/2012,1610,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,58,Car,1600-1959,January,50 - 59
2,1,1/10/2012,2050,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,59,Car,2000-2359,January,50 - 59
2,2,1/10/2012,1940,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,19,Car,1600-1959,January,10 - 19
2,2,1/10/2012,1940,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,50,Car,1600-1959,January,50 - 59
2,1,1/11/2012,922,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Pedal cycle,800-1159,January,20 - 29
2,2,1/11/2012,1120,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,52,Car,800-1159,January,50 - 59
2,2,1/11/2012,1120,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Motorcycle over 50cc and up to 125cc,800-1159,January,50 - 59
3,1,1/11/2012,1035,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car,800-1159,January,30 - 39
1,1,1/12/2012,800,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under,800-1159,January,30 - 39
2,1,1/12/2012,1030,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car,800-1159,January,40 - 49
3,1,1/12/2012,918,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car,800-1159,January,10 - 19
2,4,1/12/2012,1235,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car,1200-1559,January,30 - 39
2,4,1/12/2012,1235,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car,1200-1559,January,30 - 39
2,4,1/12/2012,1235,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,3,Car,1200-1559,January,0 - 9
2,4,1/12/2012,1235,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car,1200-1559,January,20 - 29
2,1,1/12/2012,1150,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car,800-1159,January,20 - 29
2,1,1/12/2012,1910,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Pedal cycle,1600-1959,January,10 - 19
2,1,1/13/2012,600,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Motorcycle over 50cc and up to 125cc,400-759,January,40 - 49
2,3,1/13/2012,1818,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,27,Car,1600-1959,January,20 - 29
2,3,1/13/2012,1818,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car,1600-1959,January,50 - 59
2,3,1/13/2012,1818,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Car,1600-1959,January,30 - 39
2,1,1/13/2012,1730,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,8,Car,1600-1959,January,0 - 9
2,1,1/13/2012,1630,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc,1600-1959,January,10 - 19
1,1,1/14/2012,1020,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,41,Bus or coach (17 or more passenger seats),800-1159,January,40 - 49
1,2,1/14/2012,1131,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,37,Car,800-1159,January,30 - 39
1,2,1/14/2012,1131,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,42,Car,800-1159,January,40 - 49
3,4,1/14/2012,1950,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,33,Car,1600-1959,January,30 - 39
3,4,1/14/2012,1950,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,36,Car,1600-1959,January,30 - 39
3,4,1/14/2012,1950,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Car,1600-1959,January,20 - 29
3,4,1/14/2012,1950,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car,1600-1959,January,10 - 19
2,1,1/14/2012,1843,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Car,1600-1959,January,30 - 39
1,1,1/14/2012,2345,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,Taxi/Private hire car,2000-2359,January,20 - 29
2,1,1/14/2012,145,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,30,Car,0-359,January,30 - 39
